mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	51				
12	11	31	31	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	52				
12	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	53				
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	54				
12	11	32	32	0.0	1/4	1/4	FiguredBass	3/4	2	1	0				1/4	6	5	h
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	55				
12	11	33	33	0.0	1/2	1/2	FiguredBass	3/4	2	1	0				1/4	#		
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	56				
13	12	34	34	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	57				
13	12	36	36	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	58				
13	12	34	34	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	59				
13	12	36	36	0.0	1/2	1/2	FiguredBass	3/4	2	1	0				1/4	#		
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	60				
14	13	37	37	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	61				
14	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	62				
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	63				
14	13	38	38	0.0	1/4	1/4	FiguredBass	3/4	2	1	0				1/4	_		
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	64				
14	13	39	39	0.0	1/2	1/2	FiguredBass	3/4	2	1	0				1/4	6		
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	65				
15	14	40	40	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	66				
15	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	67				
15	14	40	40	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	68				
15	14	42	42	0.0	1/2	1/2	FiguredBass	3/4	2	1	0				1/4	5		
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	69				
16	15	43	43	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	70				
16	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	71				
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	72				
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	73				
16	15	45	45	0.0	1/2	1/2	FiguredBass	3/4	2	1	0				1/4	4	3	
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	74				
17	16	46	46	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	75				
17	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	76				
17	16	46	46	0.0	0	0	FiguredBass	3/4	2	1	0				1/2	#		
17	16	46	46	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	77				
17	16	48	48	0.0	1/2	1/2	FiguredBass	3/4	2	1	0				1/4	5		
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	78				
18	17	49	49	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	79				
18	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	80				
18	17	49	49	0.0	0	0	FiguredBass	3/4	2	1	0				1/4	6		
18	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	81				
18	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	82				
18	17	51	51	0.0	1/2	1/2	FiguredBass	3/4	2	1	0				1/4	6		
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	83				
19	18	52	52	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	84				
19	18	53	53	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	85				
19	18	54	54	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	86				
