piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	SID	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
A-MCAU_RE1755-011_SID001	1: 4/4	1: 0	11	11	44.0	11	11	44.0	76.0	66	36	0	0	0	1	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach Gott und Herr						2021-01-28	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach Gott und Herr	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-011_SID001.mscx	False	43-76 (G2-E5)	Piano	67-76 (G4-E5)	Piano	43-55 (G2-G3)
A-MCAU_RE1755-012_SID002	1: 4/4	1: 0	13	13	52.0	18	18	72.0	90.0	87	46	0	0	0	2	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach Gott! vom Himmel sieh darein						2021-01-28	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach Gott! vom Himmel sieh darein	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-012_SID002.mscx	False	40-76 (E2-E5)	Piano	64-76 (E4-E5)	Piano	40-57 (E2-A3)
A-MCAU_RE1755-013_SID012	1: 4/4	1: -1	18	18	72.0	23	23	92.0	126.0	119	63	0	0	0	12	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach Gott! wie ist dein Ebenbild						2021-10-22	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach Gott! wie ist dein Ebenbild	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-013_SID012.mscx	False	41-76 (F2-E5)	Piano	62-76 (D4-E5)	Piano	41-57 (F2-A3)
A-MCAU_RE1755-014_SID021	1: 4/4	1: -3	16	16	64.0	21	21	84.0	116.0	110	60	0	0	0	21	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach Gott! wie schrecklich ist dein Grimm						2021-02-21	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach Gott! wie schrecklich ist dein Grimm	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-014_SID021.mscx	False	44-75 (Ab2-Eb5)	Piano	63-75 (Eb4-Eb5)	Piano	44-58 (Ab2-Bb3)
A-MCAU_RE1755-015_SID085	1: 4/4	1: -2	13	13	52.0	18	18	72.0	90.0	79	40	0	0	0	85	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach Herre, du gerechter Gott						2021-04-07	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach Herre, du gerechter Gott	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-015_SID085.mscx	False	41-74 (F2-D5)	Piano	65-74 (F4-D5)	Piano	41-55 (F2-G3)
A-MCAU_RE1755-016_SID029	1: 4/4	1: 1	14	14	56.0	19	19	76.0	108.0	94	49	0	0	0	29	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach Herr! lehre mich bedencken						2021-02-21	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach Herr! lehre mich bedencken	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-016_SID029.mscx	False	38-76 (D2-E5)	Piano	62-76 (D4-E5)	Piano	38-59 (D2-B3)
A-MCAU_RE1755-017_SID077	1: 4/4	1: 0	15	15	60.0	20	20	80.0	108.0	99	53	0	0	0	77	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach höchster Gott! verleihe mir						2021-10-22	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach höchster Gott! verleihe mir	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-017_SID077.mscx	False	40-74 (E2-D5)	Piano	64-74 (E4-D5)	Piano	40-57 (E2-A3)
A-MCAU_RE1755-018	1: 3/4	1: -1	26	26	78.0	26	26	78.0	156.0	117	62	0	0	0		1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach hört doch und faßt guten Muth						2022-07-28	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach hört doch und faßt guten Muth	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-018.mscx	False	38-77 (D2-F5)	Piano	62-77 (D4-F5)	Piano	38-57 (D2-A3)
A-MCAU_RE1755-019_SID060	1: 4/4	1: 0	13	13	52.0	18	18	72.0	88.0	76	39	0	0	0	60	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach Jesu, deßen Treu						2021-10-22	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach Jesu, deßen Treu	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-019_SID060.mscx	False	40-74 (E2-D5)	Piano	60-74 (C4-D5)	Piano	40-57 (E2-A3)
A-MCAU_RE1755-020_SID087	1: 3/4	1: 1	27	26	78.0	27	26	78.0	156.0	120	66	0	0	0	87	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach Jesu, meiner Seelen Freude						2021-11-30	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach Jesu, meiner Seelen Freude	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-020_SID087.mscx	False	38-74 (D2-D5)	Piano	64-74 (E4-D5)	Piano	38-57 (D2-A3)
