mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	2	3/4	1/4	1/2		1			firstMeasure	2
2	1	1	3.0	2	3/4	3/4	0						3
3	2	4	3.0	2	3/4	3/4	0						4
4	3	7	3.0	2	3/4	3/4	0						5
5	4	10	2.0	2	3/4	1/2	0					end	1, 6
6	5	12	1.0	2	3/4	1/4	1/2						7
7	6	13	3.0	2	3/4	3/4	0						8
8	7	16	3.0	2	3/4	3/4	0						9
9	8	19	3.0	2	3/4	3/4	0						10
10	9	22	3.0	2	3/4	3/4	0						11
11	10	25	3.0	2	3/4	3/4	0						12
12	11	28	3.0	2	3/4	3/4	0						13
13	12	31	3.0	2	3/4	3/4	0						14
14	13	34	2.0	2	3/4	1/2	0					lastMeasure	-1
