mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.0	0	3/4	1/4	1/2					firstMeasure	2
2	2	1	3.0	0	3/4	3/4	0						3
3	3	4	3.0	0	3/4	3/4	0						4
4	4	7	3.0	0	3/4	3/4	0						5
5	5	10	3.0	0	3/4	3/4	0						6
6	6	13	3.0	0	3/4	3/4	0						7
7	7	16	3.0	0	3/4	3/4	0						8
8	8	19	3.0	0	3/4	3/4	0						9
9	9	22	3.0	0	3/4	3/4	0						10
10	10	25	3.0	0	3/4	3/4	0						11
11	11	28	3.0	0	3/4	3/4	0						12
12	12	31	2.0	0	3/4	1/2	0					end	1, 13
13	13	33	1.0	0	3/4	1/4	1/2						14
14	14	34	3.0	0	3/4	3/4	0						15
15	15	37	3.0	0	3/4	3/4	0						16
16	16	40	3.0	0	3/4	3/4	0						17
17	17	43	3.0	0	3/4	3/4	0						18
18	18	46	3.0	0	3/4	3/4	0						19
19	19	49	3.0	0	3/4	3/4	0						20
20	20	52	3.0	0	3/4	3/4	0						21
21	21	55	3.0	0	3/4	3/4	0						22
22	22	58	3.0	0	3/4	3/4	0						23
23	23	61	3.0	0	3/4	3/4	0						24
24	24	64	3.0	0	3/4	3/4	0						25
25	25	67	3.0	0	3/4	3/4	0						26
26	26	70	3.0	0	3/4	3/4	0						27
27	27	73	3.0	0	3/4	3/4	0						28
28	28	76	3.0	0	3/4	3/4	0						29
29	29	79	3.0	0	3/4	3/4	0						30
30	30	82	3.0	0	3/4	3/4	0						31
31	31	85	3.0	0	3/4	3/4	0						32
32	32	88	3.0	0	3/4	3/4	0						33
33	33	91	2.0	0	3/4	1/2	0					lastMeasure	-1
